sequence,frame,image_path,gt_id_path,pred_path,status
00000,frame000000-1581624652_750,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000000-1581624652_750.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node_label_id/frame000000-1581624652_750.png,00000/frame000000-1581624652_750/pred_traversable.png,ok
00000,frame000001-1581624652_849,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000001-1581624652_849.jpg,,00000/frame000001-1581624652_849/pred_traversable.png,ok
00000,frame000002-1581624652_949,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000002-1581624652_949.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node_label_id/frame000002-1581624652_949.png,00000/frame000002-1581624652_949/pred_traversable.png,ok
00000,frame000003-1581624653_049,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000003-1581624653_049.jpg,,00000/frame000003-1581624653_049/pred_traversable.png,ok
00000,frame000004-1581624653_150,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000004-1581624653_150.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node_label_id/frame000004-1581624653_150.png,00000/frame000004-1581624653_150/pred_traversable.png,ok
00000,frame000005-1581624653_249,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000005-1581624653_249.jpg,,00000/frame000005-1581624653_249/pred_traversable.png,ok
00000,frame000006-1581624653_349,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000006-1581624653_349.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node_label_id/frame000006-1581624653_349.png,00000/frame000006-1581624653_349/pred_traversable.png,ok
00000,frame000007-1581624653_449,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000007-1581624653_449.jpg,,00000/frame000007-1581624653_449/pred_traversable.png,ok
00000,frame000008-1581624653_549,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000008-1581624653_549.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node_label_id/frame000008-1581624653_549.png,00000/frame000008-1581624653_549/pred_traversable.png,ok
00000,frame000009-1581624653_649,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000009-1581624653_649.jpg,,00000/frame000009-1581624653_649/pred_traversable.png,ok
00000,frame000010-1581624653_749,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000010-1581624653_749.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node_label_id/frame000010-1581624653_749.png,00000/frame000010-1581624653_749/pred_traversable.png,ok
00000,frame000011-1581624653_849,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000011-1581624653_849.jpg,,00000/frame000011-1581624653_849/pred_traversable.png,ok
00000,frame000012-1581624653_949,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000012-1581624653_949.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node_label_id/frame000012-1581624653_949.png,00000/frame000012-1581624653_949/pred_traversable.png,ok
00000,frame000013-1581624654_049,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000013-1581624654_049.jpg,,00000/frame000013-1581624654_049/pred_traversable.png,ok
00000,frame000014-1581624654_149,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000014-1581624654_149.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node_label_id/frame000014-1581624654_149.png,00000/frame000014-1581624654_149/pred_traversable.png,ok
00000,frame000015-1581624654_249,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000015-1581624654_249.jpg,,00000/frame000015-1581624654_249/pred_traversable.png,ok
00000,frame000016-1581624654_350,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000016-1581624654_350.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node_label_id/frame000016-1581624654_350.png,00000/frame000016-1581624654_350/pred_traversable.png,ok
00000,frame000017-1581624654_449,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000017-1581624654_449.jpg,,00000/frame000017-1581624654_449/pred_traversable.png,ok
00000,frame000018-1581624654_549,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000018-1581624654_549.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node_label_id/frame000018-1581624654_549.png,00000/frame000018-1581624654_549/pred_traversable.png,ok
00000,frame000019-1581624654_649,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000019-1581624654_649.jpg,,00000/frame000019-1581624654_649/pred_traversable.png,ok
00000,frame000020-1581624654_750,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000020-1581624654_750.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node_label_id/frame000020-1581624654_750.png,00000/frame000020-1581624654_750/pred_traversable.png,ok
00000,frame000021-1581624654_849,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000021-1581624654_849.jpg,,00000/frame000021-1581624654_849/pred_traversable.png,ok
00000,frame000022-1581624654_949,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000022-1581624654_949.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node_label_id/frame000022-1581624654_949.png,00000/frame000022-1581624654_949/pred_traversable.png,ok
00000,frame000023-1581624655_049,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000023-1581624655_049.jpg,,00000/frame000023-1581624655_049/pred_traversable.png,ok
00000,frame000024-1581624655_149,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000024-1581624655_149.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node_label_id/frame000024-1581624655_149.png,00000/frame000024-1581624655_149/pred_traversable.png,ok
00000,frame000025-1581624655_249,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000025-1581624655_249.jpg,,00000/frame000025-1581624655_249/pred_traversable.png,ok
00000,frame000026-1581624655_350,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000026-1581624655_350.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node_label_id/frame000026-1581624655_350.png,00000/frame000026-1581624655_350/pred_traversable.png,ok
00000,frame000027-1581624655_449,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000027-1581624655_449.jpg,,00000/frame000027-1581624655_449/pred_traversable.png,ok
00000,frame000028-1581624655_549,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000028-1581624655_549.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node_label_id/frame000028-1581624655_549.png,00000/frame000028-1581624655_549/pred_traversable.png,ok
00000,frame000029-1581624655_649,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000029-1581624655_649.jpg,,00000/frame000029-1581624655_649/pred_traversable.png,ok
00000,frame000030-1581624655_749,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000030-1581624655_749.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node_label_id/frame000030-1581624655_749.png,00000/frame000030-1581624655_749/pred_traversable.png,ok
00000,frame000031-1581624655_849,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000031-1581624655_849.jpg,,00000/frame000031-1581624655_849/pred_traversable.png,ok
00000,frame000032-1581624655_950,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000032-1581624655_950.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node_label_id/frame000032-1581624655_950.png,00000/frame000032-1581624655_950/pred_traversable.png,ok
00000,frame000033-1581624656_050,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000033-1581624656_050.jpg,,00000/frame000033-1581624656_050/pred_traversable.png,ok
00000,frame000034-1581624656_149,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000034-1581624656_149.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node_label_id/frame000034-1581624656_149.png,00000/frame000034-1581624656_149/pred_traversable.png,ok
00000,frame000035-1581624656_249,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000035-1581624656_249.jpg,,00000/frame000035-1581624656_249/pred_traversable.png,no_boxes
00000,frame000036-1581624656_349,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000036-1581624656_349.jpg,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node_label_id/frame000036-1581624656_349.png,00000/frame000036-1581624656_349/pred_traversable.png,no_boxes
00000,frame000037-1581624656_449,/home/brownassassin/research-project/RELLIS-3D/Rellis-3D/00000/pylon_camera_node/frame000037-1581624656_449.jpg,,00000/frame000037-1581624656_449/pred_traversable.png,no_boxes
